รหัสประเภท,หน่วย,ชื่อ,รายละเอียดโดยย่อ,ราคาขาย/ต่อหน่วย,สต็อกขั้นต่ำให้แจ้งเตือน,บาร์โค้ด (ถ้ามี)
CAT004,แผ่น,ลามิเนตลาย รหัส A4067M,,770,10,
CAT004,แผ่น,ลามิเนตลาย รหัส A8101M,,770,10,
CAT004,แผ่น,ลามิเนตลาย รหัส A8610M,,770,10,
CAT004,แผ่น,ลามิเนตลาย รหัส A8315M,,770,10,
CAT004,แผ่น,ลามิเนตลาย รหัส A8102M,,770,10,
CAT004,แผ่น,ลามิเนตลาย รหัส A7817M,,770,10,
CAT004,แผ่น,ลามิเนตลาย รหัส A7839M,,770,10,
CAT004,แผ่น,ลามิเนตลาย รหัส A7301M,,770,10,
CAT004,แผ่น,ลามิเนตลาย รหัส A7843M,,770,10,
CAT004,แผ่น,ลามิเนตลาย รหัส A7820M,,770,10,
CAT004,แผ่น,ลามิเนตลาย รหัส A8103M,,770,10,
CAT004,แผ่น,ลามิเนตลาย รหัส A7801M,,770,10,
CAT004,แผ่น,ลามิเนตลาย รหัส A8818M,,770,10,
CAT004,แผ่น,ลามิเนตลาย รหัส A8361M,,770,10,
CAT004,แผ่น,ลามิเนตลาย รหัส A8609M,,770,10,
CAT004,แผ่น,ลามิเนตลาย รหัส A8360M,,770,10,
CAT004,แผ่น,ลามิเนตลาย รหัส A8601M,,770,10,
CAT004,แผ่น,ลามิเนตลาย รหัส A7807M,,770,10,
CAT004,แผ่น,ลามิเนตลาย รหัส A7827M,,770,10,
CAT004,แผ่น,ลามิเนตลาย รหัส A8062M,,770,10,
CAT004,แผ่น,ลามิเนตลาย รหัส A8105M,,770,10,
CAT004,แผ่น,ลามิเนตลาย รหัส A7902M,,770,10,
CAT004,แผ่น,ลามิเนตลาย รหัส A7804M,,770,10,
CAT004,แผ่น,ลามิเนตลาย รหัส A8042M,,770,10,
CAT004,แผ่น,ลามิเนตลาย รหัส A8819M,,770,10,
CAT004,แผ่น,ลามิเนตลาย รหัส A8602M,,770,10,
CAT004,แผ่น,ลามิเนตลาย รหัส A8402M,,770,10,
CAT004,แผ่น,ลามิเนตขาวเงา G รหัส A1001,,320,20,
CAT004,แผ่น,ลามิเนตขาวด้าน S รหัส A1001,,320,20,
CAT004,แผ่น,ลามิเนตขาว M รหัส A1200,,420,20,
CAT004,แผ่น,ลามิเนตลายหินอ่อน รหัส A5534G,,800,10,
